date,sku,region,temp,promo,event,sales
2025-01-01,Coke500,Bangalore,39,1,0,10160
2025-01-02,Coke500,Bangalore,38,0,0,9309
2025-01-03,Coke500,Bangalore,40,0,0,9233
2025-01-04,Coke500,Bangalore,40,0,0,10136
2025-01-05,Coke500,Bangalore,31,0,0,9094
2025-01-06,Coke500,Bangalore,35,0,0,8938
2025-01-07,Coke500,Bangalore,38,0,1,11354
2025-01-08,Coke500,Bangalore,26,0,0,8222
2025-01-09,Coke500,Bangalore,23,1,0,9171
2025-01-10,Coke500,Bangalore,21,0,0,7844
2025-01-11,Coke500,Bangalore,26,0,0,8738
2025-01-12,Coke500,Bangalore,37,0,0,9386
2025-01-13,Coke500,Bangalore,25,0,0,7520
2025-01-14,Coke500,Bangalore,23,0,0,7700
2025-01-15,Coke500,Bangalore,27,0,0,8413
2025-01-16,Coke500,Bangalore,32,0,0,9226
2025-01-17,Coke500,Bangalore,20,0,0,7305
2025-01-18,Coke500,Bangalore,30,0,0,8935
2025-01-19,Coke500,Bangalore,22,0,0,8282
2025-01-20,Coke500,Bangalore,26,0,0,8161
2025-01-21,Coke500,Bangalore,20,0,0,8127
2025-01-22,Coke500,Bangalore,27,0,0,8064
2025-01-23,Coke500,Bangalore,22,0,0,8042
2025-01-24,Coke500,Bangalore,33,0,0,9275
2025-01-25,Coke500,Bangalore,34,0,0,9539
2025-01-26,Coke500,Bangalore,36,0,0,9619
2025-01-27,Coke500,Bangalore,24,0,0,7857
2025-01-28,Coke500,Bangalore,26,0,0,8477
2025-01-29,Coke500,Bangalore,21,0,0,7822
2025-01-30,Coke500,Bangalore,31,0,0,8367
2025-01-31,Coke500,Bangalore,30,0,0,8791
2025-02-01,Coke500,Bangalore,20,0,0,8297
2025-02-02,Coke500,Bangalore,39,0,0,9932
2025-02-03,Coke500,Bangalore,24,0,0,7719
2025-02-04,Coke500,Bangalore,34,0,0,8266
2025-02-05,Coke500,Bangalore,36,0,0,9433
2025-02-06,Coke500,Bangalore,26,0,0,8272
2025-02-07,Coke500,Bangalore,41,0,0,10192
2025-02-08,Coke500,Bangalore,20,0,0,8475
2025-02-09,Coke500,Bangalore,23,0,0,8611
2025-02-10,Coke500,Bangalore,36,0,0,9475
2025-02-11,Coke500,Bangalore,30,0,0,8991
2025-02-12,Coke500,Bangalore,28,0,0,8443
2025-02-13,Coke500,Bangalore,23,0,0,7862
2025-02-14,Coke500,Bangalore,38,0,0,9170
2025-02-15,Coke500,Bangalore,26,1,0,10239
